"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","V18.1","V19.1","V20.1","V21.1","V22.1","V23.1","V24.1"
"1","miRNA_ID","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin"
"32","hsa-mir-1182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.530519","0","0","0","0","0","0","0"
"33","hsa-mir-1183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","hsa-mir-1184-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","hsa-mir-1184-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","hsa-mir-1184-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","hsa-mir-1185-1","0","0","0","1.187736","0","0","0","0","0.466728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.996245","0","0","0.28345","0","0","0.412592","0","1.047794","0","0","0","0","5.87199","0.530519","0","0.730245","0","0.920174","0","0","0"
"38","hsa-mir-1185-2","0","0","0","0","0","0","0","0","0.311152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3136","0.249061","0","0","0","0","0","0.412592","0","0.698529","0","0","0.476748","0","2.135269","0","0.509608","0","0","0","0","0","0"
"39","hsa-mir-1193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.412592","0","0.209559","0","0","0","0","0.93418","0","0","0","0","0","0","0","0"
"40","hsa-mir-1197","0","0","0","1.97956","0","0","0","0","0","0","0","0","0","0.43569","0","0","0","0","0","0","0.179817","0","0","0","0","0.198142","0.533645","0","0","0.112987","0","0.148519","0.698529","0","0","0","0","5.071264","0","0","0","0","0.460087","0","0","0.319435"
"41","hsa-mir-1199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.288173","0","0","0","0","0","0.460087","0","0","0"
